"Chave","Tipo de item","Pai","Resumo","Status","Responsável","Start date","Data de início inferida","Data limite","Data de entrega inferida","Issue color"
"REPL-34","Tarefa","REPL-33","[ART][DESIGN] Design & Implement Leet Cards - Digital Collectibles","Discovery & Refinement","","","","","","purple"
"REPL-38","Epic","","[Testing][Load] Containerized Automated Load Testing","Discovery & Refinement","","","","","","purple"
"REPL-43","Epic","","[Search] Pro-Level Insights: Evolve LeetGaming Game Event Search","Discovery & Refinement","psavelis","","","","","dark_teal"
"REPL-62","Epic","","EPIC: Ingest Stats into ML Model (AI)","Discovery & Refinement","","","","","","dark_yellow"
"REPL-63","Epic","","EPIC: Replay Vault - CS Demo Cloud Drive/Browser (User Replay Demo File Storage/Manager) ","Discovery & Refinement","","","","","","purple"
"REPL-64","Epic","","EPIC/PROJECT: Custom Codec/VideoConverter - ""The Ultimate CS Demo Viewer"" ","Discovery & Refinement","","","","","","orange"
"REPL-65","Epic","","EPIC: Professional CS Roles (Beyond Players & Teams) [DRAFT!!]","Discovery & Refinement","","","","","","purple"
"REPL-69","Epic","","EPIC: CS2MatchQL/CS2QL R (Language & Compiler)","Discovery & Refinement","","","","","","green"
"REPL-70","Epic","","[PARSER] IN-DEPTH Performance Report (BattleLog)","Discovery & Refinement","","","","","","orange"
"REPL-71","Epic","","CS2SOURCEFilmmaker Support","Discovery & Refinement","","","","","","purple"
"REPL-74","Epic","","EPIC: User Feature - E2E Encryption (Default: Enabled, Can disable (with user confirmation))","Discovery & Refinement","","","","","","dark_yellow"
"REPL-97","Epic","","EPIC: ""Challenge"" Support (BugReport's Upstream Domain)","Discovery & Refinement","Leet Gaming","","","","","purple"
"REPL-98","Epic","","EPIC: ReplayAPI Search Engine","Em andamento","","","","","","purple"
"REPL-99","História","REPL-98","Generic Search API","Em andamento","psavelis","","","","","purple"
"REPL-103","Epic","","EPIC: Create Private Registry for Developer Environment","Discovery & Refinement","","","","","","dark_green"
"REPL-107","Epic","","EPIC: [Data] Persist Anonymized Entities","Em andamento","psavelis","","","","","dark_yellow"
"REPL-108","História","REPL-107","R/W Essential Round Metadata and computed Statistics","Em andamento","psavelis","","","","","purple"
"REPL-109","História","REPL-107","R/W Automatic Group/ResourceOwner data Collection and Cleanse from Parsing","Discovery & Refinement","","","","","","purple"
"REPL-117","Epic","","[Identity&Access][Authorization] [RID] Resource Ownership Token","Discovery & Refinement","psavelis","","","","","dark_teal"
"REPL-118","História","REPL-117","Steam AuthProvider (Nextjs Backend + ReplayAPI OpenAuth)","Concluído","psavelis","","","","","purple"
"REPL-119","História","REPL-117","Google AuthProvider (Nextjs Backend + ReplayAPI OpenAuth)","Ready / Prioritized","","","","","","purple"
"REPL-122","Epic","","EPIC: MatchMaking (Stat Matching)","Discovery & Refinement","","","","","","purple"
